,ip,True,DateTime,URL,latitude,longitude
0,23.103.64.39,1.0,2018-03-11 23:57:33,/ramble/index.php?blogId=83,47.6801,-122.1206
1,62.210.178.179,1.0,2015-11-21 20:41:07,/ramble/index.php?blogId=46,48.8582,2.3387
2,62.210.178.179,1.0,2015-11-21 20:41:07,/,48.8582,2.3387
3,62.210.178.179,1.0,2015-09-30 21:47:17,/ramble/index.php?blogId=70,48.8582,2.3387
4,62.210.178.179,1.0,2015-09-30 21:47:17,/,48.8582,2.3387
5,101.255.17.34,1.0,2015-12-11 05:32:43,/ramble/index.php?blogId=54,-6.1744,106.8294
6,101.255.17.34,1.0,2015-12-11 05:32:43,/,-6.1744,106.8294
7,103.27.236.246,1.0,2015-12-02 06:52:42,/ramble/index.php?blogId=54,10.8142,106.6438
8,103.27.236.246,1.0,2015-12-02 06:52:42,/,10.8142,106.6438
9,103.27.236.246,1.0,2015-11-26 09:42:25,/ramble/index.php?blogId=54,10.8142,106.6438
10,103.27.236.246,1.0,2015-11-26 09:42:26,/,10.8142,106.6438
11,103.27.236.246,1.0,2015-11-08 21:57:45,/ramble/index.php?blogId=53,10.8142,106.6438
12,103.27.236.246,1.0,2015-11-08 21:57:45,/,10.8142,106.6438
13,104.131.147.112,1.0,2018-03-05 18:23:21,/,37.7312,-122.3826
14,104.131.147.112,1.0,2015-11-25 14:56:07,/,37.7312,-122.3826
15,104.131.147.112,1.0,2015-09-16 01:54:52,/,37.7312,-122.3826
16,104.131.147.112,1.0,2015-09-03 08:16:43,/,37.7312,-122.3826
17,104.131.147.112,1.0,2015-04-09 08:10:52,/ramble/index.php?blogid=95,37.7312,-122.3826
18,159.65.241.186,1.0,2018-04-13 21:45:15,/robots.txt,40.8326,-74.1307
19,192.0.213.220,1.0,2015-04-09 20:31:48,/tmUnblock.cgi,43.5771,-79.6306
20,192.0.213.220,1.0,2015-04-09 20:31:49,/,43.5771,-79.6306
21,195.154.194.117,1.0,2015-10-07 13:46:32,/,48.8582,2.3387
22,195.154.251.86,1.0,2015-11-02 14:28:50,/ramble/index.php?blogId=54,48.8582,2.3387
23,195.154.251.86,1.0,2015-11-02 14:28:50,/,48.8582,2.3387
24,195.154.251.86,1.0,2015-10-31 21:19:51,/ramble/index.php?blogId=54,48.8582,2.3387
25,195.154.251.86,1.0,2015-10-31 21:19:51,/,48.8582,2.3387
26,212.192.56.2,1.0,2015-11-26 23:13:19,/ramble/index.php?blogId=53,55.0,73.4
27,212.192.56.2,1.0,2015-11-26 23:13:21,/,55.0,73.4
28,217.73.208.149,1.0,2015-07-19 08:22:39,/robots.txt,43.1479,12.1097
